,O*NET-SOC Code,Title,Description,Description_Abilities,Description_Knowledge,Description_Skills,Description_Tech,Description_Interests,Description_Job
234,19-2043.00,Hydrologists,"Research the distribution, circulation, and physical properties of underground and surface waters; and study the form and intensity of precipitation and its rate of infiltration into the soil, movement through the earth, and return to the ocean and atmosphere.",Abilities:The ability to listen to and understand information and ideas presented through spoken words and sentences. The ability to read and understand information and ideas presented in writing. The ability to communicate information and ideas in speaking so others will understand.,"Knowledge:Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications. Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub-atomic structures and processes. Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.","Skills:Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems. Understanding written sentences and paragraphs in work-related documents. Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times.",Tech:ESRI ArcGIS software Geographic information system GIS systems Microsoft Excel Microsoft Office software Microsoft PowerPoint Microsoft Windows Vista Business Microsoft Word Python RockWare MODFLOW,"Interests:Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service. Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services. Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials. Artistic occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art.","Hydrologists Research the distribution, circulation, and physical properties of underground and surface waters; and study the form and intensity of precipitation and its rate of infiltration into the soil, movement through the earth, and return to the ocean and atmosphere. Abilities:The ability to listen to and understand information and ideas presented through spoken words and sentences. The ability to read and understand information and ideas presented in writing. The ability to communicate information and ideas in speaking so others will understand. Knowledge:Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications. Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub-atomic structures and processes. Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications. Skills:Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems. Understanding written sentences and paragraphs in work-related documents. Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. Tech:ESRI ArcGIS software Geographic information system GIS systems Microsoft Excel Microsoft Office software Microsoft PowerPoint Microsoft Windows Vista Business Microsoft Word Python RockWare MODFLOW Interests:Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service. Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services. Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials. Artistic occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art."
235,19-2099.00,"Physical Scientists, All Other",All physical scientists not listed separately.,,,,,,"Physical Scientists, All Other All physical scientists not listed separately.     "
236,19-2099.01,Remote Sensing Scientists and Technologists,"Apply remote sensing principles and methods to analyze data and solve problems in areas such as natural resource management, urban planning, or homeland security. May develop new sensor systems, analytical techniques, or new applications for existing systems.",Abilities:The ability to apply general rules to specific problems to produce answers that make sense. The ability to combine pieces of information to form general rules or conclusions (includes finding a relationship among seemingly unrelated events). The ability to listen to and understand information and ideas presented through spoken words and sentences.,"Knowledge:Knowledge of principles and methods for describing the features of land, sea, and air masses, including their physical characteristics, locations, interrelationships, and distribution of plant, animal, and human life. Knowledge of principles and methods for describing the features of land, sea, and air masses, including their physical characteristics, locations, interrelationships, and distribution of plant, animal, and human life. Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.","Skills:Understanding written sentences and paragraphs in work-related documents. Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems. Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times.",Tech:Go Learning management system LMS Microsoft Excel Microsoft Office software Microsoft Outlook Microsoft PowerPoint Microsoft Project Microsoft Visio Microsoft Word Python Structured query language SQL,"Interests:Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services. Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service. Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.","Remote Sensing Scientists and Technologists Apply remote sensing principles and methods to analyze data and solve problems in areas such as natural resource management, urban planning, or homeland security. May develop new sensor systems, analytical techniques, or new applications for existing systems. Abilities:The ability to apply general rules to specific problems to produce answers that make sense. The ability to combine pieces of information to form general rules or conclusions (includes finding a relationship among seemingly unrelated events). The ability to listen to and understand information and ideas presented through spoken words and sentences. Knowledge:Knowledge of principles and methods for describing the features of land, sea, and air masses, including their physical characteristics, locations, interrelationships, and distribution of plant, animal, and human life. Knowledge of principles and methods for describing the features of land, sea, and air masses, including their physical characteristics, locations, interrelationships, and distribution of plant, animal, and human life. Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming. Skills:Understanding written sentences and paragraphs in work-related documents. Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems. Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. Tech:Go Learning management system LMS Microsoft Excel Microsoft Office software Microsoft Outlook Microsoft PowerPoint Microsoft Project Microsoft Visio Microsoft Word Python Structured query language SQL Interests:Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services. Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service. Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources."
237,19-3011.00,Economists,"Conduct research, prepare reports, or formulate plans to address economic problems related to the production and distribution of goods and services or monetary and fiscal policy. May collect and process economic and statistical data using sampling techniques and econometric methods.",Abilities:The ability to read and understand information and ideas presented in writing. The ability to listen to and understand information and ideas presented through spoken words and sentences. The ability to communicate information and ideas in speaking so others will understand.,"Knowledge:Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications. Knowledge of economic and accounting principles and practices, the financial markets, banking, and the analysis and reporting of financial data. Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.","Skills:Understanding written sentences and paragraphs in work-related documents. Using mathematics to solve problems. Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems.",Tech:Microsoft Access Microsoft Excel Microsoft Office software Microsoft Outlook Microsoft PowerPoint Python R SAS StataCorp Stata Structured query language SQL Tableau,"Interests:Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service. Secondary-Cutoff/Rank Descriptiveness Tertiary-Cutoff/Rank Descriptiveness","Economists Conduct research, prepare reports, or formulate plans to address economic problems related to the production and distribution of goods and services or monetary and fiscal policy. May collect and process economic and statistical data using sampling techniques and econometric methods. Abilities:The ability to read and understand information and ideas presented in writing. The ability to listen to and understand information and ideas presented through spoken words and sentences. The ability to communicate information and ideas in speaking so others will understand. Knowledge:Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications. Knowledge of economic and accounting principles and practices, the financial markets, banking, and the analysis and reporting of financial data. Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications. Skills:Understanding written sentences and paragraphs in work-related documents. Using mathematics to solve problems. Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems. Tech:Microsoft Access Microsoft Excel Microsoft Office software Microsoft Outlook Microsoft PowerPoint Python R SAS StataCorp Stata Structured query language SQL Tableau Interests:Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service. Secondary-Cutoff/Rank Descriptiveness Tertiary-Cutoff/Rank Descriptiveness"
238,19-3011.01,Environmental Economists,"Conduct economic analysis related to environmental protection and use of the natural environment, such as water, air, land, and renewable energy resources. Evaluate and quantify benefits, costs, incentives, and impacts of alternative options using economic principles and statistical techniques.",Abilities:The ability to read and understand information and ideas presented in writing. The ability to choose the right mathematical methods or formulas to solve a problem. The ability to listen to and understand information and ideas presented through spoken words and sentences.,"Knowledge:Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications. Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications. Knowledge of economic and accounting principles and practices, the financial markets, banking, and the analysis and reporting of financial data.","Skills:Communicating effectively in writing as appropriate for the needs of the audience. Understanding written sentences and paragraphs in work-related documents. Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times.",,"Interests:Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service. Tertiary-Cutoff/Rank Descriptiveness Secondary-Cutoff/Rank Descriptiveness","Environmental Economists Conduct economic analysis related to environmental protection and use of the natural environment, such as water, air, land, and renewable energy resources. Evaluate and quantify benefits, costs, incentives, and impacts of alternative options using economic principles and statistical techniques. Abilities:The ability to read and understand information and ideas presented in writing. The ability to choose the right mathematical methods or formulas to solve a problem. The ability to listen to and understand information and ideas presented through spoken words and sentences. Knowledge:Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications. Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications. Knowledge of economic and accounting principles and practices, the financial markets, banking, and the analysis and reporting of financial data. Skills:Communicating effectively in writing as appropriate for the needs of the audience. Understanding written sentences and paragraphs in work-related documents. Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times.  Interests:Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service. Tertiary-Cutoff/Rank Descriptiveness Secondary-Cutoff/Rank Descriptiveness"
239,19-3022.00,Survey Researchers,"Plan, develop, or conduct surveys. May analyze and interpret the meaning of survey data, determine survey objectives, or suggest or test question wording. Includes social scientists who primarily design questionnaires or supervise survey teams.",Abilities:The ability to read and understand information and ideas presented in writing. The ability to communicate information and ideas in writing so others will understand. The ability to combine pieces of information to form general rules or conclusions (includes finding a relationship among seemingly unrelated events).,"Knowledge:Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar. Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications. Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.","Skills:Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems. Understanding written sentences and paragraphs in work-related documents. Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times.",Tech:FaceTime Microsoft Teams,"Interests:Secondary-Cutoff/Rank Descriptiveness Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service. Tertiary-Cutoff/Rank Descriptiveness","Survey Researchers Plan, develop, or conduct surveys. May analyze and interpret the meaning of survey data, determine survey objectives, or suggest or test question wording. Includes social scientists who primarily design questionnaires or supervise survey teams. Abilities:The ability to read and understand information and ideas presented in writing. The ability to communicate information and ideas in writing so others will understand. The ability to combine pieces of information to form general rules or conclusions (includes finding a relationship among seemingly unrelated events). Knowledge:Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar. Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications. Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications. Skills:Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems. Understanding written sentences and paragraphs in work-related documents. Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. Tech:FaceTime Microsoft Teams Interests:Secondary-Cutoff/Rank Descriptiveness Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service. Tertiary-Cutoff/Rank Descriptiveness"
240,19-3032.00,Industrial-Organizational Psychologists,"Apply principles of psychology to human resources, administration, management, sales, and marketing problems. Activities may include policy planning; employee testing and selection, training, and development; and organizational development and analysis. May work with management to organize the work setting to improve worker productivity.",Abilities:The ability to read and understand information and ideas presented in writing. The ability to communicate information and ideas in speaking so others will understand. The ability to listen to and understand information and ideas presented through spoken words and sentences.,"Knowledge:Knowledge of principles and procedures for personnel recruitment, selection, training, compensation and benefits, labor relations and negotiation, and personnel information systems. Knowledge of human behavior and performance; individual differences in ability, personality, and interests; learning and motivation; psychological research methods; and the assessment and treatment of behavioral and affective disorders. Knowledge of principles and procedures for personnel recruitment, selection, training, compensation and benefits, labor relations and negotiation, and personnel information systems.","Skills:Understanding written sentences and paragraphs in work-related documents. Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. Communicating effectively in writing as appropriate for the needs of the audience.",Tech:Learning management system LMS Microsoft Excel Microsoft Office software Microsoft Outlook Microsoft PowerPoint,"Interests:Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service. Secondary-Cutoff/Rank Descriptiveness Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations. Enterprising occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law.","Industrial-Organizational Psychologists Apply principles of psychology to human resources, administration, management, sales, and marketing problems. Activities may include policy planning; employee testing and selection, training, and development; and organizational development and analysis. May work with management to organize the work setting to improve worker productivity. Abilities:The ability to read and understand information and ideas presented in writing. The ability to communicate information and ideas in speaking so others will understand. The ability to listen to and understand information and ideas presented through spoken words and sentences. Knowledge:Knowledge of principles and procedures for personnel recruitment, selection, training, compensation and benefits, labor relations and negotiation, and personnel information systems. Knowledge of human behavior and performance; individual differences in ability, personality, and interests; learning and motivation; psychological research methods; and the assessment and treatment of behavioral and affective disorders. Knowledge of principles and procedures for personnel recruitment, selection, training, compensation and benefits, labor relations and negotiation, and personnel information systems. Skills:Understanding written sentences and paragraphs in work-related documents. Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. Communicating effectively in writing as appropriate for the needs of the audience. Tech:Learning management system LMS Microsoft Excel Microsoft Office software Microsoft Outlook Microsoft PowerPoint Interests:Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service. Secondary-Cutoff/Rank Descriptiveness Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations. Enterprising occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law."
241,19-3033.00,Clinical and Counseling Psychologists,"Assess, diagnose, and treat mental and emotional disorders of individuals through observation, interview, and psychological tests. Help individuals with distress or maladjustment understand their problems through their knowledge of case history, interviews with patients, and theory. Provide individual or group counseling services to assist individuals in achieving more effective personal, social, educational, and vocational development and adjustment. May design behavior modification programs and consult with medical personnel regarding the best treatment for patients.",Abilities:The ability to listen to and understand information and ideas presented through spoken words and sentences. The ability to communicate information and ideas in speaking so others will understand. The ability to read and understand information and ideas presented in writing.,"Knowledge:Knowledge of principles, methods, and procedures for diagnosis, treatment, and rehabilitation of physical and mental dysfunctions, and for career counseling and guidance. Knowledge of human behavior and performance; individual differences in ability, personality, and interests; learning and motivation; psychological research methods; and the assessment and treatment of behavioral and affective disorders. Knowledge of principles, methods, and procedures for diagnosis, treatment, and rehabilitation of physical and mental dysfunctions, and for career counseling and guidance.","Skills:Understanding written sentences and paragraphs in work-related documents. Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems.",,"Interests:Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service. Work involves helping, teaching, advising, assisting, or providing service to others. Social occupations are often associated with social, health care, personal service, teaching/education, or religious activities. Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials. Artistic occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art.","Clinical and Counseling Psychologists Assess, diagnose, and treat mental and emotional disorders of individuals through observation, interview, and psychological tests. Help individuals with distress or maladjustment understand their problems through their knowledge of case history, interviews with patients, and theory. Provide individual or group counseling services to assist individuals in achieving more effective personal, social, educational, and vocational development and adjustment. May design behavior modification programs and consult with medical personnel regarding the best treatment for patients. Abilities:The ability to listen to and understand information and ideas presented through spoken words and sentences. The ability to communicate information and ideas in speaking so others will understand. The ability to read and understand information and ideas presented in writing. Knowledge:Knowledge of principles, methods, and procedures for diagnosis, treatment, and rehabilitation of physical and mental dysfunctions, and for career counseling and guidance. Knowledge of human behavior and performance; individual differences in ability, personality, and interests; learning and motivation; psychological research methods; and the assessment and treatment of behavioral and affective disorders. Knowledge of principles, methods, and procedures for diagnosis, treatment, and rehabilitation of physical and mental dysfunctions, and for career counseling and guidance. Skills:Understanding written sentences and paragraphs in work-related documents. Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems.  Interests:Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service. Work involves helping, teaching, advising, assisting, or providing service to others. Social occupations are often associated with social, health care, personal service, teaching/education, or religious activities. Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials. Artistic occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art."
242,19-3034.00,School Psychologists,"Diagnose and implement individual or schoolwide interventions or strategies to address educational, behavioral, or developmental issues that adversely impact educational functioning in a school. May address student learning and behavioral problems and counsel students or families. May design and implement performance plans, and evaluate performance. May consult with other school-based personnel.",Abilities:The ability to listen to and understand information and ideas presented through spoken words and sentences. The ability to communicate information and ideas in speaking so others will understand. The ability to read and understand information and ideas presented in writing.,"Knowledge:Knowledge of human behavior and performance; individual differences in ability, personality, and interests; learning and motivation; psychological research methods; and the assessment and treatment of behavioral and affective disorders. Knowledge of human behavior and performance; individual differences in ability, personality, and interests; learning and motivation; psychological research methods; and the assessment and treatment of behavioral and affective disorders. Knowledge of principles, methods, and procedures for diagnosis, treatment, and rehabilitation of physical and mental dysfunctions, and for career counseling and guidance.","Skills:Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. Understanding written sentences and paragraphs in work-related documents. Talking to others to convey information effectively.",,"Interests:Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service. Work involves helping, teaching, advising, assisting, or providing service to others. Social occupations are often associated with social, health care, personal service, teaching/education, or religious activities. Secondary-Cutoff/Rank Descriptiveness","School Psychologists Diagnose and implement individual or schoolwide interventions or strategies to address educational, behavioral, or developmental issues that adversely impact educational functioning in a school. May address student learning and behavioral problems and counsel students or families. May design and implement performance plans, and evaluate performance. May consult with other school-based personnel. Abilities:The ability to listen to and understand information and ideas presented through spoken words and sentences. The ability to communicate information and ideas in speaking so others will understand. The ability to read and understand information and ideas presented in writing. Knowledge:Knowledge of human behavior and performance; individual differences in ability, personality, and interests; learning and motivation; psychological research methods; and the assessment and treatment of behavioral and affective disorders. Knowledge of human behavior and performance; individual differences in ability, personality, and interests; learning and motivation; psychological research methods; and the assessment and treatment of behavioral and affective disorders. Knowledge of principles, methods, and procedures for diagnosis, treatment, and rehabilitation of physical and mental dysfunctions, and for career counseling and guidance. Skills:Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. Understanding written sentences and paragraphs in work-related documents. Talking to others to convey information effectively.  Interests:Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service. Work involves helping, teaching, advising, assisting, or providing service to others. Social occupations are often associated with social, health care, personal service, teaching/education, or religious activities. Secondary-Cutoff/Rank Descriptiveness"
243,19-3039.00,"Psychologists, All Other",All psychologists not listed separately.,,,,,,"Psychologists, All Other All psychologists not listed separately.     "
244,19-3039.02,Neuropsychologists,"Apply theories and principles of neuropsychology to evaluate and diagnose disorders of higher cerebral functioning, often in research and medical settings. Study the human brain and the effect of physiological states on human cognition and behavior. May formulate and administer programs of treatment.",,,,Tech:Operational Data Store ODS software,,"Neuropsychologists Apply theories and principles of neuropsychology to evaluate and diagnose disorders of higher cerebral functioning, often in research and medical settings. Study the human brain and the effect of physiological states on human cognition and behavior. May formulate and administer programs of treatment.    Tech:Operational Data Store ODS software "
245,19-3039.03,Clinical Neuropsychologists,"Assess and diagnose patients with neurobehavioral problems related to acquired or developmental disorders of the nervous system, such as neurodegenerative disorders, traumatic brain injury, seizure disorders, and learning disabilities. Recommend treatment after diagnosis, such as therapy, medication, or surgery. Assist with evaluation before and after neurosurgical procedures, such as deep brain stimulation.",,,,,,"Clinical Neuropsychologists Assess and diagnose patients with neurobehavioral problems related to acquired or developmental disorders of the nervous system, such as neurodegenerative disorders, traumatic brain injury, seizure disorders, and learning disabilities. Recommend treatment after diagnosis, such as therapy, medication, or surgery. Assist with evaluation before and after neurosurgical procedures, such as deep brain stimulation.     "
246,19-3041.00,Sociologists,"Study human society and social behavior by examining the groups and social institutions that people form, as well as various social, religious, political, and business organizations. May study the behavior and interaction of groups, trace their origin and growth, and analyze the influence of group activities on individual members.",Abilities:The ability to listen to and understand information and ideas presented through spoken words and sentences. The ability to communicate information and ideas in speaking so others will understand. The ability to read and understand information and ideas presented in writing.,"Knowledge:Knowledge of group behavior and dynamics, societal trends and influences, human migrations, ethnicity, cultures, and their history and origins. Knowledge of group behavior and dynamics, societal trends and influences, human migrations, ethnicity, cultures, and their history and origins. Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.","Skills:Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. Talking to others to convey information effectively. Understanding written sentences and paragraphs in work-related documents.",Tech:Microsoft Excel Microsoft Office software Microsoft PowerPoint,"Interests:Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service. Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials. Artistic occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art. Work involves helping, teaching, advising, assisting, or providing service to others. Social occupations are often associated with social, health care, personal service, teaching/education, or religious activities.","Sociologists Study human society and social behavior by examining the groups and social institutions that people form, as well as various social, religious, political, and business organizations. May study the behavior and interaction of groups, trace their origin and growth, and analyze the influence of group activities on individual members. Abilities:The ability to listen to and understand information and ideas presented through spoken words and sentences. The ability to communicate information and ideas in speaking so others will understand. The ability to read and understand information and ideas presented in writing. Knowledge:Knowledge of group behavior and dynamics, societal trends and influences, human migrations, ethnicity, cultures, and their history and origins. Knowledge of group behavior and dynamics, societal trends and influences, human migrations, ethnicity, cultures, and their history and origins. Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar. Skills:Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. Talking to others to convey information effectively. Understanding written sentences and paragraphs in work-related documents. Tech:Microsoft Excel Microsoft Office software Microsoft PowerPoint Interests:Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service. Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials. Artistic occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art. Work involves helping, teaching, advising, assisting, or providing service to others. Social occupations are often associated with social, health care, personal service, teaching/education, or religious activities."
